country,city,season,pollutant,seasonal_avg
AD,Escaldes-Engordany,spring,co,100.0
AD,Escaldes-Engordany,spring,no2,23.0
AD,Escaldes-Engordany,spring,o3,111.0
AD,Escaldes-Engordany,spring,pm10,25.0
AD,Escaldes-Engordany,spring,so2,0.0
AD,unused,spring,o3,119.0
AE,Abu Dhabi,spring,o3,0.033
AE,Abu Dhabi,spring,pm25,43.0
AE,Dubai,spring,o3,0.058
AE,Dubai,spring,pm25,46.0
AR,Buenos Aires,autumn,co,0.38999999999999996
AR,Buenos Aires,autumn,no2,0.014333333333333332
AR,Buenos Aires,autumn,pm10,15.666666666666666
AR,Buenos Aires,spring,pm25,18.1
AT,Amt der Burgenländischen Landesregierung,summer,co,176.1
AT,Amt der Burgenländischen Landesregierung,summer,no2,24.2266
AT,Amt der Burgenländischen Landesregierung,summer,o3,110.666
AT,Amt der Burgenländischen Landesregierung,summer,pm10,25.7516
AT,Amt der Burgenländischen Landesregierung,summer,so2,4.8214
AT,Amt der Burgenl�ndischen Landesregierung,summer,no2,19.2687
AT,Amt der Burgenl�ndischen Landesregierung,summer,o3,63.445
AT,Amt der Burgenl�ndischen Landesregierung,summer,pm10,26.6226
AT,Amt der Kärntner Landesregierung,summer,co,269.84998
AT,Amt der Kärntner Landesregierung,summer,no2,26.289999
AT,Amt der Kärntner Landesregierung,summer,pm10,31.300001
AT,Amt der K�rntner Landesregierung,spring,pm10,0.0
AT,Amt der K�rntner Landesregierung,summer,no2,7.203333466666667
AT,Amt der K�rntner Landesregierung,summer,o3,123.81
AT,Amt der K�rntner Landesregierung,summer,pm10,24.542856714285712
AT,Amt der K�rntner Landesregierung,summer,so2,4.7533333
AT,Amt der Niederösterreichischen Landesregierung,summer,co,186.24
AT,Amt der Niederösterreichischen Landesregierung,summer,no2,15.489549000000002
AT,Amt der Niederösterreichischen Landesregierung,summer,o3,112.542
AT,Amt der Niederösterreichischen Landesregierung,summer,pm10,32.0
AT,Amt der Niederösterreichischen Landesregierung,summer,so2,2.0
AT,Amt der Nieder�sterreichischen Landesregierung,summer,no2,18.60275726
AT,Amt der Nieder�sterreichischen Landesregierung,summer,o3,103.23025
AT,Amt der Nieder�sterreichischen Landesregierung,summer,pm10,24.833333333333332
AT,Amt der Nieder�sterreichischen Landesregierung,summer,so2,2.0555555555555554
AT,Amt der Oberösterreichischen Landesregierung,summer,co,0.0
AT,Amt der Oberösterreichischen Landesregierung,summer,no2,0.0
AT,Amt der Oberösterreichischen Landesregierung,summer,pm10,0.0
AT,Amt der Ober�sterreichischen Landesregierung,summer,co,257.31998
AT,Amt der Ober�sterreichischen Landesregierung,summer,no2,11.199166383333333
AT,Amt der Ober�sterreichischen Landesregierung,summer,o3,78.37733333333333
AT,Amt der Ober�sterreichischen Landesregierung,summer,pm10,3.9926309181818183
AT,Amt der Ober�sterreichischen Landesregierung,summer,so2,0.9674999987499999
AT,Amt der Salzburger Landesregierung,spring,o3,0.0
AT,Amt der Salzburger Landesregierung,summer,co,186.24
AT,Amt der Salzburger Landesregierung,summer,no2,19.027285833333334
AT,Amt der Salzburger Landesregierung,summer,o3,68.29375
AT,Amt der Salzburger Landesregierung,summer,pm10,6.7299999999999995
AT,Amt der Salzburger Landesregierung,summer,so2,2.6647338
AT,Amt der Steierm�rkischen Landesregierung,summer,co,213.108995
AT,Amt der Steierm�rkischen Landesregierung,summer,no2,13.587779270833332
AT,Amt der Steierm�rkischen Landesregierung,summer,o3,85.3438947368421
AT,Amt der Steierm�rkischen Landesregierung,summer,pm10,15.483973956521739
AT,Amt der Steierm�rkischen Landesregierung,summer,so2,1.26180225
AT,Amt der Tiroler Landesregierung,summer,co,157.77649
AT,Amt der Tiroler Landesregierung,summer,no2,31.32708325
AT,Amt der Tiroler Landesregierung,summer,o3,60.783
AT,Amt der Tiroler Landesregierung,summer,pm10,11.66269977
AT,Amt der Tiroler Landesregierung,summer,so2,1.154
AT,Amt der Tiroler Landesregierung,winter,o3,0.0
AT,Austria,spring,pm10,0.0
AT,Austria,summer,co,190.09218666666666
AT,Austria,summer,no2,15.6193472
AT,Austria,summer,o3,88.00955555555555
AT,Austria,summer,pm10,17.846256634615386
AT,Austria,summer,so2,1.6711899866666668
AT,Austria,winter,co,365.5
AT,Austria,winter,no2,31.568627450980394
AT,Austria,winter,o3,40.61538461538461
AT,Austria,winter,pm10,19.051948051948052
AT,Austria,winter,so2,3.1333333333333333
AT,"Gemeinde Wien, MA22 Umweltschutz",spring,co,0.0
AT,"Gemeinde Wien, MA22 Umweltschutz",summer,co,267.9686566666667
AT,"Gemeinde Wien, MA22 Umweltschutz",summer,no2,34.6275233125
AT,"Gemeinde Wien, MA22 Umweltschutz",summer,o3,118.17260000000002
AT,"Gemeinde Wien, MA22 Umweltschutz",summer,pm10,27.710166666666666
AT,"Gemeinde Wien, MA22 Umweltschutz",summer,so2,3.1606370000000004
AT,Umweltbundesamt,summer,co,35.40306
AT,Umweltbundesamt,summer,no2,1.6019254
AT,Umweltbundesamt,summer,o3,72.90166666666666
AT,Umweltbundesamt,summer,pm10,5.323333166666667
AT,Umweltbundesamt,summer,so2,0.2966666633333333
AT,Umweltinstitut des Landes Vorarlberg,summer,co,0.0
AT,Umweltinstitut des Landes Vorarlberg,summer,no2,0.0
AT,Umweltinstitut des Landes Vorarlberg,summer,o3,0.0
AT,Umweltinstitut des Landes Vorarlberg,winter,o3,5.0
AU,Central Coast,spring,co,0.2
AU,Central Coast,spring,no2,0.008
AU,Central Coast,spring,o3,0.0
AU,Central Coast,spring,pm10,14.9
AU,Central Coast,spring,pm25,10.1
AU,Central Coast,spring,so2,0.0
AU,Central Queensland,spring,pm10,16.733333333333334
AU,Central Queensland,spring,pm25,3.5
AU,Central Tablelands,spring,pm10,21.1
AU,Central Tablelands,spring,pm25,11.9
AU,Gladstone,spring,co,0.0
AU,Gladstone,spring,no2,-2856.854714285714
AU,Gladstone,spring,o3,-9999.0
