country,city,year,pollutant,avg_value,median_value,p95_value,measurements,max_value,min_value
AD,Escaldes-Engordany,2019,co,100.0,100.0,100.0,1,100.0,100.0
AD,Escaldes-Engordany,2019,no2,23.0,23.0,23.0,1,23.0,23.0
AD,Escaldes-Engordany,2019,o3,111.0,111.0,120.9,2,122.0,100.0
AD,Escaldes-Engordany,2019,pm10,25.0,25.0,25.0,1,25.0,25.0
AD,Escaldes-Engordany,2019,so2,0.0,0.0,0.0,1,0.0,0.0
AD,unused,2019,o3,119.0,119.0,119.0,1,119.0,119.0
AE,Abu Dhabi,2019,o3,0.033,0.033,0.033,1,0.033,0.033
AE,Abu Dhabi,2019,pm25,43.0,43.0,43.0,1,43.0,43.0
AE,Dubai,2019,o3,0.058,0.058,0.058,1,0.058,0.058
AE,Dubai,2019,pm25,46.0,46.0,46.0,1,46.0,46.0
AR,Buenos Aires,2015,pm25,18.1,18.1,18.1,1,18.1,18.1
AR,Buenos Aires,2017,co,0.38999999999999996,0.57,0.597,3,0.6,0.0
AR,Buenos Aires,2017,no2,0.014333333333333332,0.02,0.022699999999999998,3,0.023,0.0
AR,Buenos Aires,2017,pm10,15.666666666666666,16.0,16.0,3,16.0,15.0
AT,Amt der Burgenländischen Landesregierung,2017,co,176.1,176.1,176.1,1,176.1,176.1
AT,Amt der Burgenländischen Landesregierung,2017,no2,24.2266,24.2266,24.2266,1,24.2266,24.2266
AT,Amt der Burgenländischen Landesregierung,2017,o3,110.666,110.666,110.666,1,110.666,110.666
AT,Amt der Burgenländischen Landesregierung,2017,pm10,25.7516,25.7516,25.7516,1,25.7516,25.7516
AT,Amt der Burgenländischen Landesregierung,2017,so2,4.8214,4.8214,4.8214,1,4.8214,4.8214
AT,Amt der Burgenl�ndischen Landesregierung,2017,no2,19.2687,19.2687,19.2687,1,19.2687,19.2687
AT,Amt der Burgenl�ndischen Landesregierung,2017,o3,63.445,63.445,63.445,1,63.445,63.445
AT,Amt der Burgenl�ndischen Landesregierung,2017,pm10,26.6226,26.6226,26.6226,1,26.6226,26.6226
AT,Amt der Kärntner Landesregierung,2017,co,269.84998,269.84998,269.84998,1,269.84998,269.84998
AT,Amt der Kärntner Landesregierung,2017,no2,26.289999,26.289999,26.289999,1,26.289999,26.289999
AT,Amt der Kärntner Landesregierung,2017,pm10,31.300001,31.300001,31.300001,1,31.300001,31.300001
AT,Amt der K�rntner Landesregierung,2017,no2,7.203333466666667,4.229999899999999,18.50500075,6,19.630001,0.0
AT,Amt der K�rntner Landesregierung,2017,o3,123.81,122.69,141.50549999999998,4,144.66,105.2
AT,Amt der K�rntner Landesregierung,2017,pm10,21.474999625,26.27,31.547999649999998,8,32.01,0.0
AT,Amt der K�rntner Landesregierung,2017,so2,4.7533333,1.5699999,10.95699999,3,12.0,0.69
AT,Amt der Niederösterreichischen Landesregierung,2017,co,186.24,174.6,206.028,3,209.52,174.6
AT,Amt der Niederösterreichischen Landesregierung,2017,no2,15.489549000000002,13.959717,19.9834314,3,20.652733,11.856197
AT,Amt der Niederösterreichischen Landesregierung,2017,o3,112.542,112.542,112.542,1,112.542,112.542
AT,Amt der Niederösterreichischen Landesregierung,2017,pm10,32.0,32.0,39.2,2,40.0,24.0
AT,Amt der Niederösterreichischen Landesregierung,2017,so2,2.0,2.0,2.0,1,2.0,2.0
AT,Amt der Nieder�sterreichischen Landesregierung,2017,no2,18.60275726,9.943908,45.74197799999999,25,82.61093,0.0
AT,Amt der Nieder�sterreichischen Landesregierung,2017,o3,103.23025,106.556,147.61209999999997,24,151.852,0.0
AT,Amt der Nieder�sterreichischen Landesregierung,2017,pm10,24.833333333333332,25.5,60.649999999999984,18,70.0,0.0
AT,Amt der Nieder�sterreichischen Landesregierung,2017,so2,2.0555555555555554,2.0,3.1499999999999986,18,4.0,1.0
AT,Amt der Oberösterreichischen Landesregierung,2017,co,0.0,0.0,0.0,1,0.0,0.0
AT,Amt der Oberösterreichischen Landesregierung,2017,no2,0.0,0.0,0.0,1,0.0,0.0
AT,Amt der Oberösterreichischen Landesregierung,2017,pm10,0.0,0.0,0.0,1,0.0,0.0
AT,Amt der Ober�sterreichischen Landesregierung,2017,co,257.31998,120.48999,599.0059559999997,4,682.69995,105.59999
AT,Amt der Ober�sterreichischen Landesregierung,2017,no2,11.199166383333333,6.54999985,33.564499999999995,12,39.84,0.0
AT,Amt der Ober�sterreichischen Landesregierung,2017,o3,78.37733333333333,91.343,103.506,9,109.26,0.0
AT,Amt der Ober�sterreichischen Landesregierung,2017,pm10,3.9926309181818183,3.96537,6.26839985,11,6.8744597,0.0
AT,Amt der Ober�sterreichischen Landesregierung,2017,so2,0.9674999987499999,0.71999998,2.7800000649999985,8,3.6200001,0.0
AT,Amt der Salzburger Landesregierung,2017,co,186.24,186.24,186.24,1,186.24,186.24
AT,Amt der Salzburger Landesregierung,2017,no2,19.027285833333334,15.967621999999999,40.8752,6,48.18971,7.457931
AT,Amt der Salzburger Landesregierung,2017,o3,54.635000000000005,72.235,101.4876,5,102.166,0.0
AT,Amt der Salzburger Landesregierung,2017,pm10,6.7299999999999995,7.04,7.508,3,7.56,5.59
AT,Amt der Salzburger Landesregierung,2017,so2,2.6647338,2.6647338,3.86386392,2,3.9971006,1.332367
AT,Amt der Steierm�rkischen Landesregierung,2017,co,213.108995,213.108995,259.98909949999995,2,265.198,161.01999
AT,Amt der Steierm�rkischen Landesregierung,2017,no2,13.587779270833332,12.057806,33.76447054999997,24,55.34814,0.0
AT,Amt der Steierm�rkischen Landesregierung,2017,o3,85.3438947368421,101.913,137.35409999999996,19,151.521,0.0
AT,Amt der Steierm�rkischen Landesregierung,2017,pm10,15.483973956521739,16.726421,23.8175579,23,24.151756,0.0
AT,Amt der Steierm�rkischen Landesregierung,2017,so2,1.26180225,0.7913570000000001,3.5166488,12,3.590351,0.0
AT,Amt der Tiroler Landesregierung,2017,co,157.77649,157.77649,190.63054,2,194.28099,121.27199
AT,Amt der Tiroler Landesregierung,2017,no2,31.32708325,21.5135,69.98514999999999,12,72.728,4.836
AT,Amt der Tiroler Landesregierung,2017,o3,48.626400000000004,55.059,70.745,5,71.661,0.0
AT,Amt der Tiroler Landesregierung,2017,pm10,11.66269977,11.666000499999999,19.809598449999996,10,21.245998,4.34
AT,Amt der Tiroler Landesregierung,2017,so2,1.154,1.154,1.154,1,1.154,1.154
AT,Austria,2016,co,469.92857142857144,238.5,1256.0999999999997,14,1663.0,162.0
AT,Austria,2016,no2,31.568627450980394,20.5,79.84999999999997,102,90.0,2.0
AT,Austria,2016,o3,40.61538461538461,44.0,71.6,65,80.0,1.0
AT,Austria,2016,pm10,19.051948051948052,11.0,54.2,77,68.0,2.0
AT,Austria,2016,so2,3.1333333333333333,3.0,5.0,45,31.0,0.0
AT,Austria,2017,co,114.055312,141.22806500000002,248.7806,10,252.332,0.0
AT,Austria,2017,no2,15.6193472,8.650001,51.03317,31,100.96891,0.0
AT,Austria,2017,o3,88.00955555555555,88.013,134.7152,27,138.72,0.0
AT,Austria,2017,pm10,17.185284166666666,14.55,39.726604399999985,27,45.0,0.0
AT,Austria,2017,so2,1.6711899866666668,1.43,3.3223219,15,3.348273,0.404191
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,co,200.9764925,222.19599499999998,347.719633,4,359.51398,0.0
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,no2,34.6275233125,30.0267695,78.1963875,16,97.92261,0.0
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,o3,118.17260000000002,117.928,136.1898,5,138.846,101.633
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,pm10,27.710166666666666,25.398,42.497350000000004,12,42.719,12.267
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,so2,3.1606370000000004,3.675734,4.4731291,7,4.518856,0.0
AT,Umweltbundesamt,2017,co,35.40306,35.40306,67.265814,2,70.80612,0.0
AT,Umweltbundesamt,2017,no2,1.6019254,2.1455894,2.60872706,3,2.6601868,0.0
AT,Umweltbundesamt,2017,o3,72.90166666666666,106.462,111.66489999999999,3,112.243,0.0
AT,Umweltbundesamt,2017,pm10,5.323333166666667,2.45,12.41299955,3,13.5199995,0.0
AT,Umweltbundesamt,2017,so2,0.2966666633333333,0.05999999,0.7529999989999999,3,0.83,0.0
AT,Umweltinstitut des Landes Vorarlberg,2016,o3,5.0,5.0,5.0,1,5.0,5.0
AT,Umweltinstitut des Landes Vorarlberg,2017,co,0.0,0.0,0.0,1,0.0,0.0
AT,Umweltinstitut des Landes Vorarlberg,2017,no2,0.0,0.0,0.0,7,0.0,0.0
AT,Umweltinstitut des Landes Vorarlberg,2017,o3,0.0,0.0,0.0,3,0.0,0.0
AU,Central Coast,2019,co,0.2,0.2,0.2,1,0.2,0.2
AU,Central Coast,2019,no2,0.008,0.008,0.008,1,0.008,0.008
AU,Central Coast,2019,o3,0.0,0.0,0.0,1,0.0,0.0
AU,Central Coast,2019,pm10,14.9,14.9,14.9,1,14.9,14.9
AU,Central Coast,2019,pm25,10.1,10.1,10.1,1,10.1,10.1
AU,Central Coast,2019,so2,0.0,0.0,0.0,1,0.0,0.0
AU,Central Queensland,2019,pm10,16.733333333333334,17.8,18.7,3,18.8,13.6
AU,Central Queensland,2019,pm25,3.5,3.5,3.5,1,3.5,3.5
AU,Central Tablelands,2019,pm10,21.1,21.1,21.1,1,21.1,21.1
AU,Central Tablelands,2019,pm25,11.9,11.9,11.9,1,11.9,11.9
AU,Gladstone,2019,co,0.0,0.0,0.0,1,0.0,0.0
AU,Gladstone,2019,no2,-2856.854714285714,0.002,0.005699999999999999,7,0.006,-9999.0
AU,Gladstone,2019,o3,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0
AU,Gladstone,2019,pm10,13.785714285714286,11.4,28.529999999999987,7,33.6,0.2
AU,Gladstone,2019,pm25,2.9333333333333336,3.2,4.5,6,4.6,0.2
AU,Gladstone,2019,so2,-2856.8554285714285,0.0,0.007999999999999993,7,0.011,-9999.0
AU,Illawarra,2019,co,0.3,0.3,0.57,2,0.6,0.0
AU,Illawarra,2019,no2,0.008533333333333334,0.0024,0.01914,3,0.021,0.0022
AU,Illawarra,2019,o3,0.0036666666666666666,0.004,0.0049,3,0.005,0.002
AU,Illawarra,2019,pm10,11.833333333333334,9.4,15.969999999999999,3,16.7,9.4
AU,Illawarra,2019,pm25,8.7,8.7,8.7,1,8.7,8.7
AU,Illawarra,2019,so2,0.18300000000000002,0.206,0.3284,3,0.342,0.001
AU,Lower Hunter,2019,co,0.1,0.1,0.1,2,0.1,0.1
AU,Lower Hunter,2019,no2,0.008733333333333334,0.005,0.0158,3,0.017,0.0042
AU,Lower Hunter,2019,o3,0.001,0.001,0.0019,3,0.002,0.0
AU,Lower Hunter,2019,pm10,13.5,12.5,17.63,3,18.2,9.8
AU,Lower Hunter,2019,pm25,11.9,11.9,11.9,1,11.9,11.9
AU,Lower Hunter,2019,so2,0.14433333333333334,0.215,0.2168,3,0.217,0.001
AU,Mount Isa,2019,so2,0.0,0.0,0.0,1,0.0,0.0
AU,Mt Isa,2019,pm10,12.1,12.1,12.1,1,12.1,12.1
AU,Mt Isa,2019,so2,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0
AU,North-west Slopes,2017,pm25,4.8,4.8,4.8,1,4.8,4.8
AU,North-west Slopes,2019,pm10,11.5,11.5,11.5,1,11.5,11.5
AU,North-west Slopes,2019,so2,0.268,0.268,0.268,1,0.268,0.268
AU,South East Queensland,2018,co,0.0,0.0,0.0,1,0.0,0.0
AU,South East Queensland,2019,co,0.25,0.25,0.295,2,0.3,0.2
AU,South East Queensland,2019,no2,0.006,0.0035,0.018599999999999988,10,0.024,0.0
AU,South East Queensland,2019,o3,0.006444444444444444,0.008,0.012,9,0.012,0.0
AU,South East Queensland,2019,pm10,11.308333333333332,10.0,22.394999999999992,12,29.6,0.0
AU,South East Queensland,2019,pm25,4.5,3.8,9.14,9,9.3,0.0
AU,South East Queensland,2019,so2,0.0012000000000000001,0.001,0.0028,5,0.003,0.0
AU,South-west Slopes,2019,pm10,15.950000000000001,15.950000000000001,16.535,2,16.6,15.3
AU,South-west Slopes,2019,pm25,12.5,12.5,12.5,1,12.5,12.5
AU,South-west Slopes,2019,so2,0.387,0.387,0.387,1,0.387,0.387
AU,Sydney East,2019,co,0.06666666666666667,0.1,0.1,3,0.1,0.0
AU,Sydney East,2019,no2,0.0077399999999999995,0.0059,0.017259999999999998,5,0.02,0.0029
AU,Sydney East,2019,o3,0.0014,0.001,0.0028,5,0.003,0.0
AU,Sydney East,2019,pm10,11.775,9.850000000000001,18.144999999999996,4,19.6,7.8
AU,Sydney East,2019,pm25,9.0,9.0,9.0,1,9.0,9.0
AU,Sydney East,2019,so2,0.1878,0.205,0.32539999999999997,5,0.352,0.001
AU,Sydney North-west,2016,co,0.1,0.1,0.1,1,0.1,0.1
AU,Sydney North-west,2016,no2,0.0024,0.0024,0.0024,1,0.0024,0.0024
AU,Sydney North-west,2016,o3,0.008,0.008,0.008,1,0.008,0.008
AU,Sydney North-west,2016,so2,0.206,0.206,0.206,1,0.206,0.206
AU,Sydney North-west,2017,pm25,4.2,4.2,4.2,1,4.2,4.2
AU,Sydney North-west,2019,co,0.05,0.05,0.095,2,0.1,0.0
AU,Sydney North-west,2019,no2,0.0159,0.0085,0.032709999999999996,3,0.0354,0.0038
