country,city,year,avg_bc,avg_co,avg_no2,avg_o3,avg_pm10,avg_pm25,avg_so2,pollutant_span
AD,Escaldes-Engordany,2019,,100.0,23.0,111.0,25.0,,0.0,111.0
AD,unused,2019,,,,119.0,,,,0.0
AE,Abu Dhabi,2019,,,,0.033,,43.0,,42.967
AE,Dubai,2019,,,,0.058,,46.0,,45.942
AR,Buenos Aires,2015,,,,,,18.1,,0.0
AR,Buenos Aires,2017,,0.38999999999999996,0.014333333333333332,,15.666666666666666,,,15.652333333333333
AT,Amt der Burgenländischen Landesregierung,2017,,176.1,24.2266,110.666,25.7516,,4.8214,171.27859999999998
AT,Amt der Burgenl�ndischen Landesregierung,2017,,,19.2687,63.445,26.6226,,,44.1763
AT,Amt der Kärntner Landesregierung,2017,,269.84998,26.289999,,31.300001,,,243.55998100000002
AT,Amt der K�rntner Landesregierung,2017,,,7.203333466666667,123.81,21.474999625,,4.7533333,119.05666670000001
AT,Amt der Niederösterreichischen Landesregierung,2017,,186.24,15.489549000000002,112.542,32.0,,2.0,184.24
AT,Amt der Nieder�sterreichischen Landesregierung,2017,,,18.60275726,103.23025,24.833333333333332,,2.0555555555555554,101.17469444444444
AT,Amt der Oberösterreichischen Landesregierung,2017,,0.0,0.0,,0.0,,,0.0
AT,Amt der Ober�sterreichischen Landesregierung,2017,,257.31998,11.199166383333333,78.37733333333333,3.9926309181818183,,0.9674999987499999,256.35248000125
AT,Amt der Salzburger Landesregierung,2017,,186.24,19.027285833333334,54.635000000000005,6.7299999999999995,,2.6647338,183.57526620000002
AT,Amt der Steierm�rkischen Landesregierung,2017,,213.108995,13.587779270833332,85.3438947368421,15.483973956521739,,1.26180225,211.84719275
AT,Amt der Tiroler Landesregierung,2017,,157.77649,31.32708325,48.626400000000004,11.66269977,,1.154,156.62249
AT,Austria,2016,,469.92857142857144,31.568627450980394,40.61538461538461,19.051948051948052,,3.1333333333333333,466.7952380952381
AT,Austria,2017,,114.055312,15.6193472,88.00955555555555,17.185284166666666,,1.6711899866666668,112.38412201333334
AT,"Gemeinde Wien, MA22 Umweltschutz",2017,,200.9764925,34.6275233125,118.17260000000002,27.710166666666666,,3.1606370000000004,197.8158555
AT,Umweltbundesamt,2017,,35.40306,1.6019254,72.90166666666666,5.323333166666667,,0.2966666633333333,72.60500000333332
AT,Umweltinstitut des Landes Vorarlberg,2016,,,,5.0,,,,0.0
AT,Umweltinstitut des Landes Vorarlberg,2017,,0.0,0.0,0.0,,,,0.0
AU,Central Coast,2019,,0.2,0.008,0.0,14.9,10.1,0.0,14.9
AU,Central Queensland,2019,,,,,16.733333333333334,3.5,,13.233333333333334
AU,Central Tablelands,2019,,,,,21.1,11.9,,9.200000000000001
AU,Gladstone,2019,,0.0,-2856.854714285714,-9999.0,13.785714285714286,2.9333333333333336,-2856.8554285714285,10012.785714285714
AU,Illawarra,2019,,0.3,0.008533333333333334,0.0036666666666666666,11.833333333333334,8.7,0.18300000000000002,11.829666666666668
AU,Lower Hunter,2019,,0.1,0.008733333333333334,0.001,13.5,11.9,0.14433333333333334,13.499
AU,Mount Isa,2019,,,,,,,0.0,0.0
AU,Mt Isa,2019,,,,,12.1,,-9999.0,10011.1
AU,North-west Slopes,2017,,,,,,4.8,,0.0
AU,North-west Slopes,2019,,,,,11.5,,0.268,11.232
AU,South East Queensland,2018,,0.0,,,,,,0.0
AU,South East Queensland,2019,,0.25,0.006,0.006444444444444444,11.308333333333332,4.5,0.0012000000000000001,11.307133333333331
AU,South-west Slopes,2019,,,,,15.950000000000001,12.5,0.387,15.563
AU,Sydney East,2019,,0.06666666666666667,0.0077399999999999995,0.0014,11.775,9.0,0.1878,11.7736
AU,Sydney North-west,2016,,0.1,0.0024,0.008,,,0.206,0.20359999999999998
AU,Sydney North-west,2017,,,,,,4.2,,0.0
AU,Sydney North-west,2019,,0.05,0.0159,0.008333333333333333,19.8,,0.3416666666666666,19.791666666666668
AU,Sydney South-west,2019,,0.06666666666666667,0.007850000000000001,0.007833333333333333,14.383333333333333,10.2,0.2125,14.375499999999999
AU,Tasmania Region,2018,,,,,9.941176470588236,1.7941176470588236,,8.147058823529411
AU,Townsville,2019,,,0.0,,19.366666666666667,5.0,0.0,19.366666666666667
AU,Upper Hunter - Muswellbrook,2019,,,0.018,,34.5,11.7,0.002,34.498
AU,Upper Hunter - Singleton,2019,,,0.014,,31.9,15.5,0.0,31.9
BA,Goražde,2018,,141.0,19.0,8.0,2.0,,10.0,139.0
BA,Ilijaš,2018,,,33.0,,100.0,,35.0,67.0
BA,Jajce,2016,,1508.0,,,,,,0.0
BA,Jajce,2018,,,25.0,6.0,9.0,,29.0,23.0
BA,Kakanj,2018,,496.0,12.0,21.0,47.0,,19.0,484.0
BA,Lukavac,2019,,558.0,13.4,86.0,,12.8,35.9,545.2
BA,Sarajevo,2016,,383.0,0.0,,,,,383.0
BA,Sarajevo,2017,,,,19.0,,,,0.0
BA,Sarajevo,2018,,325.0,27.5,41.0,58.8,,8.2,316.8
BA,Sarajevo,2019,,,,,,10.0,,0.0
BA,Tuzla,2017,,,,,,34.4,,0.0
BA,Tuzla,2018,,,,26.9,,,,0.0
