iso3,country_name,region,income_group,start_year,end_year,pm25_mean,pm25_latest,pm25_peak,pm25_trend,gdp_mean,urban_mean,pm25_percent_change
PER,Peru,Latin America & Caribbean ,Upper middle income,2004,2020,41.051515198521535,27.0356284968814,68.549467559912,-2.4750497633375774,5421.969499081863,76.71335294117647,-34.14219093707146
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,2004,2020,34.98075219482805,22.879459074231,59.7162505298355,-2.2515574620704557,2686.5385206619326,67.11805882352941,-34.59414781362604
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,2004,2020,25.540366019760565,16.6570210758922,42.9326149031908,-1.623320837621111,5383.571290114039,62.913,-34.78158823955509
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2004,2020,88.12541213073777,75.6630329481338,97.7000280042596,-0.809186154162729,66923.41342385187,98.50576470588234,-14.141640738219188
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2004,2020,67.33141318937595,58.4950629834781,75.9706504898194,-0.7726425767721897,23532.951018902488,88.83370588235294,-13.123666632459924
THA,Thailand,East Asia & Pacific,Upper middle income,2004,2020,33.40639443712263,31.0072016277159,40.5277251520537,-0.7698533628243535,5321.134888327772,44.73741176470588,-7.181837039978912
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2004,2020,34.33736812482246,26.6019532713554,39.4031643248459,-0.7268252178430068,4304.015320194412,46.24158823529412,-22.527687111450852
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2004,2020,33.717613471007866,26.118651401474,40.0646898780776,-0.7180882504227697,4791.917324513699,57.49017647058823,-22.53706976049133
CHN,China,East Asia & Pacific,Upper middle income,2004,2020,48.01502911548549,34.8105237153218,58.4662215596184,-0.7149535346884316,6787.626346353711,51.58882352941176,-27.50077557675595
MMR,Myanmar,East Asia & Pacific,Lower middle income,2004,2020,34.434866315993176,32.3150340028667,41.0062465475539,-0.7125353157291353,961.032422844802,29.325058823529417,-6.1560637223729335
