iso3,country_name,region,income_group,start_year,end_year,pm25_mean,pm25_latest,pm25_peak,pm25_trend,gdp_mean,urban_mean,pm25_percent_change
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,2004,2020,88.12541213073777,75.6630329481338,97.7000280042596,-0.809186154162729,66923.41342385187,98.50576470588234,-14.141640738219188
NER,Niger,Sub-Saharan Africa ,Low income,2004,2020,87.55178757411922,85.1223455605238,107.144665250434,-0.1891658071895983,461.1468898201442,16.29094117647059,-2.7748628336556957
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,2004,2020,73.65720293837354,70.8224442103687,83.0360920761507,0.1362057222070761,1518.049651136906,48.35723529411764,-3.848583186598313
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2004,2020,67.33141318937595,58.4950629834781,75.9706504898194,-0.7726425767721897,23532.951018902488,88.83370588235294,-13.123666632459924
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2004,2020,65.50818751531673,54.8587056496436,76.4681376215846,-0.2885290660334942,3198.367513020022,42.90541176470588,-16.256718846301666
IND,India,South Asia,Lower middle income,2004,2020,63.82793000805744,48.3948115195574,79.0373957134889,0.4336377629128337,1387.4178655693645,31.744705882352942,-24.17925583134501
MLI,Mali,Sub-Saharan Africa ,Low income,2004,2020,63.55242144805648,56.7830489222988,74.1479908356132,-0.2221303911942182,807.4556129992427,37.59676470588236,-10.651635880295308
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2004,2020,62.84677416603075,46.0870936659706,77.1437275538632,0.2557486578723995,500.6636109145222,24.189647058823528,-26.66752704885672
SAS,South Asia,Aggregates,Aggregates,2004,2020,62.21649812642136,47.322842941453,77.0059054082343,0.4190199221934454,1377.033291812,31.32353001945236,-23.93843374904365
TSA,South Asia (IDA & IBRD),Aggregates,Aggregates,2004,2020,62.21649812642136,47.322842941453,77.0059054082343,0.4190199221934454,1377.033291812,31.32353001945236,-23.93843374904365
